1,100.00,https://example.com/images/product1.jpg,Product 1,This is a description of product 1,true,false
2,50.00,https://example.com/images/product2.jpg,Product 2,This is a description of product 2,true,false
3,200.00,https://example.com/images/product3.jpg,Product 3,This is a description of product 3,true,true
4,300.00,https://example.com/images/product4.jpg,Product 4,This is a description of product 4,false,false
5,25.00,https://example.com/images/product5.jpg,Product 5,This is a description of product 5,true,true
6,15.00,https://example.com/images/product6.jpg,Product 6,This is a description of product 6,true,false
7,120.00,https://example.com/images/product7.jpg,Product 7,This is a description of product 7,false,false
8,250.00,https://example.com/images/product8.jpg,Product 8,This is a description of product 8,true,false
9,80.00,https://example.com/images/product9.jpg,Product 9,This is a description of product 9,true,false
10,99.99,https://example.com/images/product10.jpg,Product 10,This is a description of product 10,false,true
11,300.00,https://example.com/images/product11.jpg,Product 11,This is a description of product 11,true,false
12,400.00,https://example.com/images/product12.jpg,Product 12,This is a description of product 12,true,true
13,600.00,https://example.com/images/product13.jpg,Product 13,This is a description of product 13,true,false
14,750.00,https://example.com/images/product14.jpg,Product 14,This is a description of product 14,true,true
15,125.00,https://example.com/images/product15.jpg,Product 15,This is a description of product 15,true,false
16,350.00,https://example.com/images/product16.jpg,Product 16,This is a description of product 16,false,true
17,450.00,https://example.com/images/product17.jpg,Product 17,This is a description of product 17,true,false
18,55.00,https://example.com/images/product18.jpg,Product 18,This is a description of product 18,true,false
19,10.00,https://example.com/images/product19.jpg,Product 19,This is a description of product 19,false,false
20,95.00,https://example.com/images/product20.jpg,Product 20,This is a description of product 20,true,true
